workdir/satlib/uf20-91/uf20-0109,	2,	0m0.066s,	0m0.060s,	0m0.003s,	94,	2,	0m0.069s,	0m0.057s,	0m0.010s,	91,	2,	0m0.068s,	0m0.060s,	0m0.007s,	91,	2,	0m0.072s,	0m0.057s,	0m0.013s,	91,	2,	0m0.066s,	0m0.053s,	0m0.010s,	91,	2,	0m0.072s,	0m0.070s,	0m0.000s,	91,	2,	0m0.065s,	0m0.060s,	0m0.003s,	91,	2,	0m0.067s,	0m0.060s,	0m0.003s,	91,	2,	0m0.069s,	0m0.057s,	0m0.007s,	91,	2,	0m0.072s,	0m0.067s,	0m0.003s,	91,	2,	0m0.071s,	0m0.063s,	0m0.003s
workdir/satlib/uf20-91/uf20-010,	9,	0m0.098s,	0m0.087s,	0m0.010s,	95,	9,	0m0.100s,	0m0.097s,	0m0.000s,	95,	9,	0m0.069s,	0m0.060s,	0m0.007s,	95,	9,	0m0.060s,	0m0.053s,	0m0.003s,	95,	9,	0m0.088s,	0m0.073s,	0m0.007s,	95,	9,	0m0.097s,	0m0.080s,	0m0.013s,	95,	9,	0m0.065s,	0m0.060s,	0m0.003s,	95,	9,	0m0.110s,	0m0.100s,	0m0.003s,	95,	9,	0m0.097s,	0m0.093s,	0m0.000s,	95,	9,	0m0.099s,	0m0.087s,	0m0.007s,	95,	9,	0m0.094s,	0m0.083s,	0m0.007s
workdir/satlib/uf20-91/uf20-0110,	55,	0m0.118s,	0m0.113s,	0m0.003s,	95,	55,	0m0.094s,	0m0.083s,	0m0.007s,	95,	55,	0m0.095s,	0m0.083s,	0m0.007s,	95,	55,	0m0.088s,	0m0.077s,	0m0.010s,	95,	55,	0m0.098s,	0m0.090s,	0m0.003s,	95,	55,	0m0.086s,	0m0.077s,	0m0.007s,	95,	55,	0m0.091s,	0m0.083s,	0m0.003s,	95,	55,	0m0.091s,	0m0.077s,	0m0.010s,	95,	55,	0m0.054s,	0m0.050s,	0m0.003s,	95,	55,	0m0.069s,	0m0.060s,	0m0.007s,	95,	55,	0m0.090s,	0m0.083s,	0m0.003s
workdir/satlib/uf20-91/uf20-0111,	14,	0m0.078s,	0m0.070s,	0m0.003s,	94,	14,	0m0.071s,	0m0.063s,	0m0.007s,	91,	14,	0m0.048s,	0m0.040s,	0m0.003s,	91,	14,	0m0.077s,	0m0.073s,	0m0.000s,	91,	14,	0m0.042s,	0m0.040s,	0m0.000s,	91,	14,	0m0.071s,	0m0.067s,	0m0.003s,	91,	14,	0m0.075s,	0m0.067s,	0m0.007s,	91,	14,	0m0.048s,	0m0.043s,	0m0.003s,	91,	14,	0m0.080s,	0m0.063s,	0m0.010s,	91,	14,	0m0.078s,	0m0.070s,	0m0.003s,	91,	14,	0m0.085s,	0m0.067s,	0m0.010s
workdir/satlib/uf20-91/uf20-0112,	7,	0m0.114s,	0m0.093s,	0m0.017s,	96,	7,	0m0.078s,	0m0.070s,	0m0.007s,	93,	7,	0m0.080s,	0m0.073s,	0m0.003s,	93,	7,	0m0.057s,	0m0.043s,	0m0.010s,	93,	7,	0m0.082s,	0m0.080s,	0m0.000s,	93,	7,	0m0.068s,	0m0.063s,	0m0.003s,	93,	7,	0m0.086s,	0m0.077s,	0m0.007s,	93,	7,	0m0.046s,	0m0.040s,	0m0.003s,	93,	7,	0m0.075s,	0m0.060s,	0m0.013s,	93,	7,	0m0.075s,	0m0.067s,	0m0.007s,	93,	7,	0m0.077s,	0m0.067s,	0m0.007s
workdir/satlib/uf20-91/uf20-0113,	1,	0m0.100s,	0m0.093s,	0m0.000s,	93,	1,	0m0.082s,	0m0.073s,	0m0.007s,	98,	1,	0m0.073s,	0m0.057s,	0m0.010s,	98,	1,	0m0.081s,	0m0.077s,	0m0.003s,	98,	1,	0m0.084s,	0m0.073s,	0m0.007s,	98,	1,	0m0.078s,	0m0.077s,	0m0.000s,	98,	1,	0m0.053s,	0m0.047s,	0m0.003s,	98,	1,	0m0.080s,	0m0.070s,	0m0.007s,	98,	1,	0m0.077s,	0m0.070s,	0m0.003s,	98,	1,	0m0.086s,	0m0.077s,	0m0.007s,	98,	1,	0m0.072s,	0m0.067s,	0m0.003s
workdir/satlib/uf20-91/uf20-0114,	13,	0m0.088s,	0m0.077s,	0m0.007s,	96,	13,	0m0.100s,	0m0.093s,	0m0.003s,	91,	13,	0m0.102s,	0m0.093s,	0m0.007s,	91,	13,	0m0.103s,	0m0.097s,	0m0.003s,	91,	13,	0m0.099s,	0m0.093s,	0m0.000s,	91,	13,	0m0.096s,	0m0.083s,	0m0.007s,	91,	13,	0m0.060s,	0m0.053s,	0m0.003s,	91,	13,	0m0.081s,	0m0.067s,	0m0.010s,	91,	13,	0m0.103s,	0m0.093s,	0m0.007s,	91,	13,	0m0.070s,	0m0.063s,	0m0.003s,	91,	13,	0m0.101s,	0m0.097s,	0m0.000s
workdir/satlib/uf20-91/uf20-0115,	8,	0m0.078s,	0m0.063s,	0m0.007s,	92,	8,	0m0.071s,	0m0.050s,	0m0.017s,	96,	8,	0m0.090s,	0m0.083s,	0m0.003s,	96,	8,	0m0.089s,	0m0.087s,	0m0.000s,	96,	8,	0m0.097s,	0m0.087s,	0m0.007s,	96,	8,	0m0.104s,	0m0.097s,	0m0.003s,	96,	8,	0m0.087s,	0m0.083s,	0m0.000s,	96,	8,	0m0.095s,	0m0.090s,	0m0.003s,	96,	8,	0m0.066s,	0m0.053s,	0m0.010s,	96,	8,	0m0.088s,	0m0.077s,	0m0.010s,	96,	8,	0m0.094s,	0m0.087s,	0m0.003s
workdir/satlib/uf20-91/uf20-0116,	3,	0m0.062s,	0m0.050s,	0m0.010s,	94,	3,	0m0.086s,	0m0.080s,	0m0.003s,	95,	3,	0m0.082s,	0m0.080s,	0m0.000s,	95,	3,	0m0.089s,	0m0.087s,	0m0.000s,	95,	3,	0m0.089s,	0m0.080s,	0m0.007s,	95,	3,	0m0.088s,	0m0.080s,	0m0.007s,	95,	3,	0m0.078s,	0m0.070s,	0m0.007s,	95,	3,	0m0.052s,	0m0.043s,	0m0.007s,	95,	3,	0m0.083s,	0m0.070s,	0m0.010s,	95,	3,	0m0.084s,	0m0.073s,	0m0.007s,	95,	3,	0m0.099s,	0m0.090s,	0m0.007s
workdir/satlib/uf20-91/uf20-0117,	2,	0m0.080s,	0m0.063s,	0m0.013s,	94,	2,	0m0.083s,	0m0.073s,	0m0.007s,	95,	2,	0m0.080s,	0m0.070s,	0m0.007s,	95,	2,	0m0.074s,	0m0.070s,	0m0.003s,	95,	2,	0m0.080s,	0m0.063s,	0m0.013s,	95,	2,	0m0.076s,	0m0.070s,	0m0.003s,	95,	2,	0m0.077s,	0m0.067s,	0m0.007s,	95,	2,	0m0.085s,	0m0.080s,	0m0.003s,	95,	2,	0m0.074s,	0m0.070s,	0m0.000s,	95,	2,	0m0.051s,	0m0.043s,	0m0.003s,	95,	2,	0m0.083s,	0m0.073s,	0m0.007s
