workdir/satlib/uf75-325/uf75-091,	8,	8,	23m41.192s,	23m40.232s,	0m0.950s,	7m5.896s,	7m5.683s,	0m0.210s,	283,	300
workdir/satlib/uf75-325/uf75-092,	2256,	2256,	23m21.022s,	23m19.919s,	0m1.023s,	11m52.729s,	11m52.200s,	0m0.450s,	291,	293
workdir/satlib/uf75-325/uf75-093,	41503,	41503,	10m57.704s,	10m57.360s,	0m0.333s,	2m46.380s,	2m46.200s,	0m0.140s,	292,	287
workdir/satlib/uf75-325/uf75-094,	3304,	3304,	4m39.051s,	4m38.788s,	0m0.157s,	2m35.293s,	2m35.100s,	0m0.137s,	287,	288
workdir/satlib/uf75-325/uf75-095,	198,	198,	13m35.716s,	13m33.997s,	0m0.503s,	8m5.600s,	8m5.168s,	0m0.270s,	286,	291
workdir/satlib/uf75-325/uf75-096,	124,	124,	5m44.320s,	5m44.087s,	0m0.210s,	13m52.731s,	13m52.349s,	0m0.357s,	281,	282
workdir/satlib/uf75-325/uf75-097,	640,	640,	8m0.008s,	7m59.679s,	0m0.307s,	3m32.326s,	3m32.188s,	0m0.130s,	295,	289
workdir/satlib/uf75-325/uf75-098,	7456,	7456,	3m9.652s,	3m9.472s,	0m0.123s,	8m17.352s,	8m16.977s,	0m0.237s,	296,	293
workdir/satlib/uf75-325/uf75-099,	478,	478,	4m51.034s,	4m50.424s,	0m0.197s,	7m42.150s,	7m41.786s,	0m0.214s,	273,	288
workdir/satlib/uf75-325/uf75-09,	10077,	10077,	8m46.469s,	8m45.601s,	0m0.314s,	14m4.611s,	14m3.460s,	0m0.407s,	286,	281
