workdir/satlib/uf50-218/uf50-0148,	4,	4,	0m3.792s,	0m3.783s,	0m0.007s,	0m9.977s,	0m9.923s,	0m0.033s,	204,	209
workdir/satlib/uf50-218/uf50-0149,	1485,	1485,	0m16.097s,	0m16.053s,	0m0.040s,	0m14.114s,	0m14.050s,	0m0.057s,	213,	208
workdir/satlib/uf50-218/uf50-014,	77,	77,	0m5.016s,	0m4.997s,	0m0.017s,	0m12.193s,	0m12.147s,	0m0.040s,	211,	203
workdir/satlib/uf50-218/uf50-0150,	737,	737,	0m10.161s,	0m10.120s,	0m0.033s,	0m21.503s,	0m21.453s,	0m0.043s,	207,	204
workdir/satlib/uf50-218/uf50-0151,	4,	4,	0m17.576s,	0m17.477s,	0m0.073s,	0m17.432s,	0m17.383s,	0m0.040s,	202,	208
workdir/satlib/uf50-218/uf50-0152,	129,	129,	0m3.841s,	0m3.823s,	0m0.017s,	0m5.996s,	0m5.967s,	0m0.027s,	213,	207
workdir/satlib/uf50-218/uf50-0153,	16,	16,	0m6.660s,	0m6.633s,	0m0.023s,	0m7.096s,	0m7.060s,	0m0.033s,	210,	212
workdir/satlib/uf50-218/uf50-0154,	28,	28,	0m14.078s,	0m14.003s,	0m0.043s,	0m18.060s,	0m18.003s,	0m0.053s,	211,	208
workdir/satlib/uf50-218/uf50-0155,	4,	4,	0m7.602s,	0m7.570s,	0m0.030s,	0m5.976s,	0m5.963s,	0m0.010s,	197,	202
workdir/satlib/uf50-218/uf50-0156,	138,	138,	0m3.026s,	0m3.003s,	0m0.013s,	0m2.637s,	0m2.617s,	0m0.020s,	207,	200
workdir/satlib/uf50-218/uf50-0157,	2537,	2537,	0m18.088s,	0m18.050s,	0m0.033s,	0m14.960s,	0m14.877s,	0m0.050s,	208,	204
workdir/satlib/uf50-218/uf50-0158,	24,	24,	0m4.357s,	0m4.327s,	0m0.027s,	0m8.561s,	0m8.523s,	0m0.033s,	209,	206
workdir/satlib/uf50-218/uf50-0159,	15,	15,	0m7.969s,	0m7.907s,	0m0.050s,	0m6.981s,	0m6.943s,	0m0.033s,	203,	201
workdir/satlib/uf50-218/uf50-015,	264,	264,	0m20.748s,	0m20.687s,	0m0.053s,	0m10.383s,	0m10.333s,	0m0.043s,	207,	207
workdir/satlib/uf50-218/uf50-0160,	103,	103,	0m9.942s,	0m9.897s,	0m0.040s,	0m5.219s,	0m5.187s,	0m0.017s,	208,	209
